Gene stable ID	NCBI gene ID
ENSMUSG00000064336	
ENSMUSG00000064337	
ENSMUSG00000064338	
ENSMUSG00000064339	
ENSMUSG00000064340	
ENSMUSG00000064341	17716
ENSMUSG00000064342	
ENSMUSG00000064343	
ENSMUSG00000064344	
ENSMUSG00000064345	17717
ENSMUSG00000064346	
ENSMUSG00000064347	
ENSMUSG00000064348	
ENSMUSG00000064349	
ENSMUSG00000064350	
ENSMUSG00000064351	17708
ENSMUSG00000064352	
ENSMUSG00000064353	
ENSMUSG00000064354	17709
ENSMUSG00000064355	
ENSMUSG00000064356	17706
ENSMUSG00000064357	17705
ENSMUSG00000064358	17710
ENSMUSG00000064359	
ENSMUSG00000064360	17718
ENSMUSG00000064361	
ENSMUSG00000065947	17720
ENSMUSG00000064363	17719
ENSMUSG00000064364	
ENSMUSG00000064365	
ENSMUSG00000064366	
ENSMUSG00000064367	17721
ENSMUSG00000064368	17722
ENSMUSG00000064369	
ENSMUSG00000064370	17711
ENSMUSG00000064371	
ENSMUSG00000064372	
ENSMUSG00000106974	
ENSMUSG00000118009	
ENSMUSG00000100231	
ENSMUSG00000115254	
ENSMUSG00000101491	
ENSMUSG00000095553	
ENSMUSG00000099298	
ENSMUSG00000101060	
ENSMUSG00000048138	226049
ENSMUSG00000104479	
ENSMUSG00000037661	71862
ENSMUSG00000033508	67855
ENSMUSG00000081781	
ENSMUSG00000082998	
ENSMUSG00000093699	
ENSMUSG00000109240	
ENSMUSG00000106150	
ENSMUSG00000080718	
ENSMUSG00000109367	
ENSMUSG00000081547	
ENSMUSG00000020803	52700
ENSMUSG00000042462	66422
ENSMUSG00000115445	
ENSMUSG00000043948	259063
ENSMUSG00000049530	624224
ENSMUSG00000044814	257947
ENSMUSG00000078254	
ENSMUSG00000107950	
ENSMUSG00000020080	216019
ENSMUSG00000017311	217212
ENSMUSG00000078670	100038347
ENSMUSG00000042213	67492
ENSMUSG00000034738	329416
ENSMUSG00000030774	18479
ENSMUSG00000054667	16370
ENSMUSG00000054484	96957
ENSMUSG00000028337	107684
ENSMUSG00000102596	
ENSMUSG00000044537	
ENSMUSG00000114755	14429
ENSMUSG00000032897	18046
ENSMUSG00000117846	
ENSMUSG00000104304	
ENSMUSG00000054672	244234
ENSMUSG00000099833	
ENSMUSG00000115468	
ENSMUSG00000109008	
ENSMUSG00000113110	
ENSMUSG00000081279	
ENSMUSG00000089646	
ENSMUSG00000080890	
ENSMUSG00000101469	
ENSMUSG00000085627	
ENSMUSG00000102111	
ENSMUSG00000094416	
ENSMUSG00000095283	
ENSMUSG00000102404	
ENSMUSG00000006378	26912
ENSMUSG00000101796	
ENSMUSG00000117807	
ENSMUSG00000086426	
ENSMUSG00000090291	278795
ENSMUSG00000101646	
ENSMUSG00000100334	
ENSMUSG00000019851	64058
ENSMUSG00000080059	
ENSMUSG00000078253	100504183
ENSMUSG00000106763	
ENSMUSG00000095952	
ENSMUSG00000083742	
ENSMUSG00000081392	
ENSMUSG00000104433	
ENSMUSG00000095017	
ENSMUSG00000115810	
ENSMUSG00000073906	258352
ENSMUSG00000114152	
ENSMUSG00000101247	
ENSMUSG00000110943	
ENSMUSG00000030124	16768
ENSMUSG00000102926	
ENSMUSG00000036572	68134
ENSMUSG00000081580	
ENSMUSG00000100192	
ENSMUSG00000101492	
ENSMUSG00000100497	
ENSMUSG00000116174	
ENSMUSG00000075700	69227
ENSMUSG00000113570	
ENSMUSG00000078605	
ENSMUSG00000091890	
ENSMUSG00000118468	
ENSMUSG00000041961	407821
ENSMUSG00000044912	238266
ENSMUSG00000094735	100312475
ENSMUSG00000115885	
ENSMUSG00000111106	
ENSMUSG00000111064	
ENSMUSG00000047181	217125
ENSMUSG00000095974	
ENSMUSG00000082680	
ENSMUSG00000036915	243911
ENSMUSG00000028167	69772
ENSMUSG00000026622	18005
ENSMUSG00000102917	
ENSMUSG00000118470	
ENSMUSG00000112517	
ENSMUSG00000085078	
ENSMUSG00000059423	242747
ENSMUSG00000107380	
ENSMUSG00000113849	
ENSMUSG00000083741	
ENSMUSG00000115402	
ENSMUSG00000107680	
ENSMUSG00000020658	668212
ENSMUSG00000100624	
ENSMUSG00000108412	
ENSMUSG00000069713	
ENSMUSG00000113408	
ENSMUSG00000108806	
ENSMUSG00000035441	338367
ENSMUSG00000030086	66098
ENSMUSG00000020387	76901
ENSMUSG00000106893	
ENSMUSG00000049091	20768
ENSMUSG00000046324	226090
ENSMUSG00000073184	
ENSMUSG00000100481	
ENSMUSG00000107185	
ENSMUSG00000100550	
ENSMUSG00000101250	
ENSMUSG00000118475	
ENSMUSG00000107233	
ENSMUSG00000081524	
ENSMUSG00000075197	258575
ENSMUSG00000093623	
ENSMUSG00000108548	
ENSMUSG00000074067	
ENSMUSG00000115072	100312470
ENSMUSG00000100352	
ENSMUSG00000118162	
ENSMUSG00000090460	
ENSMUSG00000104869	
ENSMUSG00000095920	
ENSMUSG00000043925	257926
ENSMUSG00000046761	105732
ENSMUSG00000039742	330277
ENSMUSG00000096414	
ENSMUSG00000112642	
ENSMUSG00000108760	
ENSMUSG00000028248	66625
ENSMUSG00000024411	11829
ENSMUSG00000075196	259014
ENSMUSG00000020189	237542
ENSMUSG00000001156	17119
ENSMUSG00000071434	
ENSMUSG00000100682	
ENSMUSG00000115858	
ENSMUSG00000094412	
ENSMUSG00000027166	99349
ENSMUSG00000116940	
ENSMUSG00000110909	
ENSMUSG00000115667	
ENSMUSG00000112938	
ENSMUSG00000055818	
ENSMUSG00000061614	258249
ENSMUSG00000022262	110082
ENSMUSG00000108448	
ENSMUSG00000099349	
ENSMUSG00000082286	
ENSMUSG00000030122	69202
ENSMUSG00000022246	75646
ENSMUSG00000110123	
ENSMUSG00000116378	26912
ENSMUSG00000036218	239618
ENSMUSG00000028703	230654
ENSMUSG00000090939	
ENSMUSG00000038733	226757
ENSMUSG00000105078	102639650
ENSMUSG00000050121	226115
ENSMUSG00000029919	54486
ENSMUSG00000113027	
ENSMUSG00000021258	12454
ENSMUSG00000109657	
ENSMUSG00000100968	
ENSMUSG00000110372	
ENSMUSG00000070891	
